id,barang_kode,barang_nama,barang_stok,barang_satuan,barang_lokasi,created_at,updated_at
,B0001,Amplop Coklat uk. Folio,0,pcs,Gudang ATK,,
,B0002,Amplop KOP,0,pcs,Gudang ATK,,
,B0003,Amplop putih kecil,0,pcs,Gudang ATK,,
,B0004,Amplop putih panjang,0,pcs,Gudang ATK,,
,B0005,Binder Clips No. 155,0,pcs,Gudang ATK,,
,B0006,Binder Clips no. 200,0,pcs,Gudang ATK,,
,B0007,Boardmarker Snowman Black,0,pcs,Gudang ATK,,
,B0008,Boardmarker Snowman Blue,0,pcs,Gudang ATK,,
,B0009,Boardmarker Snowman Green,0,pcs,Gudang ATK,,
,B0010,Boardmarker Snowman Red,0,pcs,Gudang ATK,,
,B0011,Bolpen Boxy Black,0,pcs,Gudang ATK,,
,B0012,Bolpen Boxy Blue,0,pcs,Gudang ATK,,
,B0013,Bolpen Boxy Red,0,pcs,Gudang ATK,,
,B0014,Bolpen Faster Black,0,pcs,Gudang ATK,,
,B0015,Bolpen Ink Gel,0,pcs,Gudang ATK,,
,B0016,Bolpen Standart Black,0,pcs,Gudang ATK,,
,B0017,Buku Jurnal Kelas,0,pcs,Gudang ATK,,
,B0018,Buku tulis hard cover Folio,0,pcs,Gudang ATK,,
,B0019,Buku tulis hard cover kecil,0,pcs,Gudang ATK,,
,B0020,Buku tulis hard cover Panjang,0,pcs,Gudang ATK,,
,B0021,Buku tulis isi 38lbr,0,pcs,Gudang ATK,,
,B0022,Clear Holder,0,pcs,Gudang ATK,,
,B0023,Cutter Besar L500,0,pcs,Gudang ATK,,
,B0024,Cutter Kecil A300,0,pcs,Gudang ATK,,
,B0025,Dispenser Tape Besar,0,pcs,Gudang ATK,,
,B0026,Double tape 2.5cm,0,pcs,Gudang ATK,,
,B0027,Drawing pen snowman 0.3,0,pcs,Gudang ATK,,
,B0028,Drawing pen snowman 0.5,0,pcs,Gudang ATK,,
,B0029,Gunting Besar,0,pcs,Gudang ATK,,
,B0030,Gunting Kecil,0,pcs,Gudang ATK,,
,B0031,Gunting Tanggung,0,pcs,Gudang ATK,,
,B0032,Isi Cutter Besar,0,pcs,Gudang ATK,,
,B0033,Isi Cutter Kecil,0,pcs,Gudang ATK,,
,B0034,Isi staples no. 10-1M,0,pcs,Gudang ATK,,
,B0035,Isi staples no. 1210,0,pcs,Gudang ATK,,
,B0036,Isi staples no.1215,0,pcs,Gudang ATK,,
,B0037,Isi staples no.1217,0,pcs,Gudang ATK,,
,B0038,Isi staples no 24/6,0,pcs,Gudang ATK,,
,B0039,Isolasi 2.5cm (Panfix),0,pcs,Gudang ATK,,
,B0040,Kertas Buffalo uk. Folio Blue,0,pcs,Gudang ATK,,
,B0041,Kertas Buffalo uk. Folio Brown,0,pcs,Gudang ATK,,
,B0042,Kertas Buffalo uk. Folio Green,0,pcs,Gudang ATK,,
,B0043,Kertas Buffalo uk. Folio Orange,0,pcs,Gudang ATK,,
,B0044,Kertas Buffalo uk. Folio Red,0,pcs,Gudang ATK,,
,B0045,Kertas Buffalo uk. Folio White,0,pcs,Gudang ATK,,
,B0046,Kertas Buffalo uk. Folio Yellow,0,pcs,Gudang ATK,,
,B0047,Kertas CD,0,pcs,Gudang ATK,,
,B0048,Kertas Fax,0,pcs,Gudang ATK,,
,B0049,Kertas Folio Bergaris,0,pcs,Gudang ATK,,
,B0050,Kertas HVS A3 70 gr,0,pcs,Gudang ATK,,
,B0051,Kertas HVS A4,0,pcs,Gudang ATK,,
,B0052,Kertas HVS F70,0,pcs,Gudang ATK,,
,B0053,Kertas HVS F70 Blue,0,pcs,Gudang ATK,,
,B0054,Kertas HVS F70 Green,0,pcs,Gudang ATK,,
,B0055,Kertas HVS F70 Pink,0,pcs,Gudang ATK,,
,B0056,Kertas HVS F70 Yellow,0,pcs,Gudang ATK,,
,B0057,Kertas HVS F80,0,pcs,Gudang ATK,,
,B0058,Kertas HVS Q70,0,pcs,Gudang ATK,,
,B0059,Kertas KOP,0,pcs,Gudang ATK,,
,B0060,Kertas Lipat,0,pcs,Gudang ATK,,
,B0061,Kertas Rapot,0,pcs,Gudang ATK,,
,B0062,Kwitansi Panjang,0,pcs,Gudang ATK,,
,B0063,Lakban Bening 5cm,0,pcs,Gudang ATK,,
,B0064,Lakban Coklat 5cm,0,pcs,Gudang ATK,,
,B0065,"Lakban Hitam 3,5cm",0,pcs,Gudang ATK,,
,B0066,Lakban Hitam 5cm,0,pcs,Gudang ATK,,
,B0067,Lem cair besar,0,pcs,Gudang ATK,,
,B0068,Lem Castol Besar,0,pcs,Gudang ATK,,
,B0069,Lem Castol Kecil,0,pcs,Gudang ATK,,
,B0070,Lem Tackol Besar,0,pcs,Gudang ATK,,
,B0071,Lem UHU cair kecil,0,pcs,Gudang ATK,,
,B0072,Lem UHU Stick Besar,0,pcs,Gudang ATK,,
,B0073,Lem UHU Stick Kecil,0,pcs,Gudang ATK,,
,B0074,Lembar Jawab Komputer,0,pcs,Gudang ATK,,
,B0075,Map Kancing,0,pcs,Gudang ATK,,
,B0076,Map Plastik Acco,0,pcs,Gudang ATK,,
,B0077,Map Plastik Jepit,0,pcs,Gudang ATK,,
,B0078,Master Risograph,0,pcs,Gudang ATK,,
,B0079,Ordner tebal uk. 1/2 folio,0,pcs,Gudang ATK,,
,B0080,Ordner tebal uk. Folio,0,pcs,Gudang ATK,,
,B0081,Ordner tipis uk. Folio,0,pcs,Gudang ATK,,
,B0082,Paper Clips Jumbo,0,pcs,Gudang ATK,,
,B0083,Paper Clips No : 107,0,pcs,Gudang ATK,,
,B0084,Paper Clips No : 3,0,pcs,Gudang ATK,,
,B0085,Penggaris Kayu,0,pcs,Gudang ATK,,
,B0086,Penghapus kertas Besar,0,pcs,Gudang ATK,,
,B0087,Penghapus kertas Kecil,0,pcs,Gudang ATK,,
,B0088,Penghapus Whiteboard,0,pcs,Gudang ATK,,
,B0089,Pensil 2B,0,pcs,Gudang ATK,,
,B0090,Permanent marker BlaCK,0,pcs,Gudang ATK,,
,B0091,Pines,0,pcs,Gudang ATK,,
,B0092,Plastik Jilid uk. Folio,0,pcs,Gudang ATK,,
,B0093,Punch uk. 30XL,0,pcs,Gudang ATK,,
,B0094,Punch uk. 40XL,0,pcs,Gudang ATK,,
,B0095,Refill Boardmarker Snowman Black,0,pcs,Gudang ATK,,
,B0096,Refill Boardmarker Snowman Blue,0,pcs,Gudang ATK,,
,B0097,Refill Boardmarker Snowman Green,0,pcs,Gudang ATK,,
,B0098,Refill Boardmarker Snowman Red,0,pcs,Gudang ATK,,
,B0099,Refill marker Snowman Black,0,pcs,Gudang ATK,,
